zone_pcode,date,n_pixels,rain_mm,rain_lta_mm,rain_anom_pct
ET0408,2022-11-01,775,19.4,21,92.4
ET0408,2022-12-01,775,11.7,12.1,97
ET0408,2023-01-01,775,14,18.8,74.6
ET0408,2023-02-01,775,14.7,29.4,50.1
ET0408,2023-03-01,775,168.1,73.1,229.9
ET0408,2023-04-01,775,151.3,117.1,129.1
ET0408,2023-05-01,775,NA,91.6,NA
ET0408,2023-06-01,775,89.3,83,107.6
ET0408,2023-07-01,775,140.2,148.7,94.3
ET0408,2023-08-01,775,100.5,161.7,62.1
ET0408,2023-09-01,775,141.5,116.4,121.6
ET0408,2023-10-01,775,84.9,70.5,120.5
ET0408,2023-11-01,775,44.2,21,210.2
ET0408,2023-12-01,775,5.9,12.1,48.8
ET0408,2024-01-01,775,10.7,18.8,56.6
ET0408,2024-02-01,775,32.8,29.4,111.7
ET0408,2024-03-01,775,111.2,73.1,152
ET0408,2024-04-01,775,102.4,117.1,87.4
ET0408,2024-05-01,775,61.8,91.6,67.5
ET0408,2024-06-01,775,89.6,83,108
ET0408,2024-07-01,775,248.9,148.7,167.4
ET0408,2024-08-01,775,183.2,161.7,113.3
ET0408,2024-09-01,775,101.3,116.4,87
ET0408,2024-10-01,775,106.4,70.5,151.1
ET0408,2024-11-01,775,25.4,21,120.7
ET0408,2024-12-01,775,6.4,12.1,52.8
ET0409,2019-01-01,567,6.8,14,48.3
ET0409,2019-02-01,567,15.1,22.6,66.6
ET0409,2019-03-01,567,47,68.6,68.5
ET0409,2019-04-01,567,93.8,127.7,73.5
ET0409,2019-05-01,567,86.7,102.9,84.3
ET0409,2019-06-01,567,100.6,60.4,166.5
ET0409,2019-07-01,567,143.3,111.4,128.6
ET0409,2019-08-01,567,110.8,126.8,87.4
ET0409,2019-09-01,567,149.1,108.9,136.9
ET0409,2019-10-01,567,185,71.1,260.4
ET0409,2019-11-01,567,53.6,20.7,258.5
ET0409,2019-12-01,567,23.3,10.8,215.5
ET0409,2020-01-01,567,13.6,14,97.1
ET0409,2020-02-01,567,10.7,22.6,47.5
ET0409,2020-03-01,567,92.3,68.6,134.6
ET0409,2020-04-01,567,162.6,127.7,127.3
ET0409,2020-05-01,567,73.1,102.9,71.1
ET0409,2020-06-01,567,69.3,60.4,114.7
ET0409,2020-07-01,567,132.5,111.4,118.9
ET0409,2020-08-01,567,211.7,126.8,167
ET0409,2020-09-01,567,104,108.9,95.5
ET0409,2020-10-01,567,23.3,71.1,32.7
ET0409,2020-11-01,567,10.1,20.7,48.9
ET0409,2020-12-01,567,8.6,10.8,79.6
ET0409,2021-01-01,567,8.6,14,61.8
ET0409,2021-02-01,567,9.1,22.6,40.2
ET0409,2021-03-01,567,12.8,68.6,18.7
ET0409,2021-04-01,567,120.1,127.7,94
ET0409,2021-05-01,567,153.3,102.9,149.1
ET0409,2021-06-01,567,32,60.4,53
ET0409,2021-07-01,567,116.8,111.4,104.8
ET0409,2021-08-01,567,134.1,126.8,105.8
ET0409,2021-09-01,567,117.6,108.9,108
ET0409,2021-10-01,567,77.5,71.1,109.1
ET0409,2021-11-01,567,7.5,20.7,36.3
ET0409,2021-12-01,567,4.9,10.8,45
ET0409,2022-01-01,567,9.9,14,70.4
ET0409,2022-02-01,567,7.6,22.6,33.4
ET0409,2022-03-01,567,24.2,68.6,35.3
ET0409,2022-04-01,567,82.3,127.7,64.4
ET0409,2022-05-01,567,31,102.9,30.1
ET0409,2022-06-01,567,66.2,60.4,109.5
ET0409,2022-07-01,567,75.7,111.4,67.9
ET0409,2022-08-01,567,99.3,126.8,78.3
ET0409,2022-09-01,567,130.3,108.9,119.7
ET0409,2022-10-01,567,33.8,71.1,47.6
ET0409,2022-11-01,567,NA,20.7,NA
ET0409,2022-12-01,567,9.9,10.8,91.5
ET0409,2023-01-01,567,11.3,14,80.9
ET0409,2023-02-01,567,7.5,22.6,33.3
ET0409,2023-03-01,567,208.7,68.6,304.2
ET0409,2023-04-01,567,134.5,127.7,105.3
ET0409,2023-05-01,567,102,102.9,99.2
ET0409,2023-06-01,567,72,60.4,119.1
ET0409,2023-07-01,567,91.1,111.4,81.7
ET0409,2023-08-01,567,85.5,126.8,67.4
ET0409,2023-09-01,567,NA,108.9,NA
ET0409,2023-10-01,567,78.7,71.1,110.8
ET0409,2023-11-01,567,65.3,20.7,315.1
ET0409,2023-12-01,567,4.9,10.8,45.3
ET0409,2024-01-01,567,6.9,14,49
ET0409,2024-02-01,567,11,22.6,48.5
ET0409,2024-03-01,567,80.1,68.6,116.8
ET0409,2024-04-01,567,124.2,127.7,97.2
ET0409,2024-05-01,567,74.3,102.9,72.3
ET0409,2024-06-01,567,79,60.4,130.7
ET0409,2024-07-01,567,166.9,111.4,149.7
ET0409,2024-08-01,567,150.4,126.8,118.7
ET0409,2024-09-01,567,84.8,108.9,77.8
ET0409,2024-10-01,567,123.7,71.1,174.2
ET0409,2024-11-01,567,33.4,20.7,161
ET0409,2024-12-01,567,5.1,10.8,47.4
ET0410,2019-01-01,772,8.2,13.3,61.2
ET0410,2019-02-01,772,6.6,14.2,46.2
ET0410,2019-03-01,772,33.9,54.6,62.1
ET0410,2019-04-01,772,38.8,104.1,37.2
ET0410,2019-05-01,772,102,120.3,84.8
ET0410,2019-06-01,772,102.9,52.7,195.3
ET0410,2019-07-01,772,84.2,66.5,126.6
ET0410,2019-08-01,772,100.8,85.9,117.4
ET0410,2019-09-01,772,102.3,95.6,107
ET0410,2019-10-01,772,182.7,68.4,267
ET0410,2019-11-01,772,58.8,19.4,303.1
ET0410,2019-12-01,772,14.9,6.1,244.1
ET0410,2020-01-01,772,12.7,13.3,95.1
ET0410,2020-02-01,772,7.2,14.2,50.6
ET0410,2020-03-01,772,69.1,54.6,126.7
ET0410,2020-04-01,772,110.7,104.1,106.3
ET0410,2020-05-01,772,80.2,120.3,66.7
ET0410,2020-06-01,772,48.9,52.7,92.8
ET0410,2020-07-01,772,87.5,66.5,131.6
ET0410,2020-08-01,772,125.5,85.9,146.1
ET0410,2020-09-01,772,97.2,95.6,101.6
ET0410,2020-10-01,772,22.6,68.4,33
ET0410,2020-11-01,772,12.7,19.4,65.2
ET0410,2020-12-01,772,5,6.1,82.2
ET0410,2021-01-01,772,9.9,13.3,74.3
ET0410,2021-02-01,772,5.5,14.2,38.5
ET0410,2021-03-01,772,11.8,54.6,21.6
ET0410,2021-04-01,772,99.9,104.1,95.9
ET0410,2021-05-01,772,164.8,120.3,137
ET0410,2021-06-01,772,23.9,52.7,45.4
ET0410,2021-07-01,772,64.1,66.5,96.4
ET0410,2021-08-01,772,95.8,85.9,111.6
ET0410,2021-09-01,772,125.1,95.6,130.8
ET0410,2021-10-01,772,89.7,68.4,131.1
ET0410,2021-11-01,772,5.5,19.4,28.2
ET0410,2021-12-01,772,3.2,6.1,51.8
ET0410,2022-01-01,772,12,13.3,89.6
ET0410,2022-02-01,772,6.7,14.2,47.1
ET0410,2022-03-01,772,17.6,54.6,32.3
ET0410,2022-04-01,772,64.5,104.1,61.9
ET0410,2022-05-01,772,38.8,120.3,32.2
ET0410,2022-06-01,772,67.5,52.7,128
ET0410,2022-07-01,772,34.8,66.5,52.4
ET0410,2022-08-01,772,71.5,85.9,83.2
ET0410,2022-09-01,772,105.7,95.6,110.6
ET0410,2022-10-01,772,44.5,68.4,65
ET0410,2022-11-01,772,16,19.4,82.6
ET0410,2022-12-01,772,4,6.1,65.2
ET0410,2023-01-01,772,11,13.3,82.7
ET0410,2023-02-01,772,6.7,14.2,47.6
ET0410,2023-03-01,772,174.3,54.6,319.5
ET0410,2023-04-01,772,104.1,104.1,100
ET0410,2023-05-01,772,103.1,120.3,85.7
ET0410,2023-06-01,772,75.2,52.7,142.6
ET0410,2023-07-01,772,45.5,66.5,68.5
ET0410,2023-08-01,772,71.9,85.9,83.8
ET0410,2023-09-01,772,92.9,95.6,97.2
ET0410,2023-10-01,772,78.2,68.4,114.3
ET0410,2023-11-01,772,56.3,19.4,290
ET0410,2023-12-01,772,3.1,6.1,51.1
ET0410,2024-01-01,772,8.1,13.3,61
ET0410,2024-02-01,772,5.5,14.2,38.6
ET0410,2024-03-01,772,42.8,54.6,78.4
ET0410,2024-04-01,772,94.7,104.1,91
ET0410,2024-05-01,772,79.9,120.3,66.4
ET0410,2024-06-01,772,54.7,52.7,103.7
ET0410,2024-07-01,772,114.1,66.5,171.7
ET0410,2024-08-01,772,140.1,85.9,163.2
ET0410,2024-09-01,772,82.8,95.6,86.6
ET0410,2024-10-01,772,101.5,68.4,148.3
ET0410,2024-11-01,772,33.5,19.4,172.6
ET0410,2024-12-01,772,3.1,6.1,51
ET0411,2019-01-01,1997,6.2,12.4,50.4
ET0411,2019-02-01,1997,15.6,16.5,94.6
ET0411,2019-03-01,1997,33.2,54,61.4
ET0411,2019-04-01,1997,77.1,160.8,48
ET0411,2019-05-01,1997,126.3,119.5,105.7
ET0411,2019-06-01,1997,76.9,32.9,233.4
ET0411,2019-07-01,1997,52.8,36.8,143.4
ET0411,2019-08-01,1997,50.7,49.1,103.2
ET0411,2019-09-01,1997,78.7,72.8,108.2
ET0411,2019-10-01,1997,281.5,111.8,251.8
ET0411,2019-11-01,1997,79.1,38,208.1
ET0411,2019-12-01,1997,25.7,15.3,168.3
ET0411,2020-01-01,1997,NA,12.4,NA
ET0411,2020-02-01,1997,8.6,16.5,52.2
ET0411,2020-03-01,1997,74.4,54,137.6
ET0411,2020-04-01,1997,223.8,160.8,139.1
ET0411,2020-05-01,1997,119.3,119.5,99.9
ET0411,2020-06-01,1997,51.4,32.9,156.2
ET0411,2020-07-01,1997,47.6,36.8,129.2
ET0411,2020-08-01,1997,87.6,49.1,178.3
ET0411,2020-09-01,1997,79.5,72.8,109.2
ET0411,2020-10-01,1997,89.7,111.8,80.2
ET0411,2020-11-01,1997,18.6,38,48.9
ET0411,2020-12-01,1997,12.5,15.3,81.8
ET0411,2021-01-01,1997,8.1,12.4,65.3
ET0411,2021-02-01,1997,11,16.5,66.5
ET0411,2021-03-01,1997,23.4,54,43.3
ET0411,2021-04-01,1997,160.5,160.8,99.8
ET0411,2021-05-01,1997,111.8,119.5,93.5
ET0411,2021-06-01,1997,24.4,32.9,74.1
ET0411,2021-07-01,1997,41.5,36.8,112.7
ET0411,2021-08-01,1997,37.6,49.1,76.5
ET0411,2021-09-01,1997,73.3,72.8,100.7
ET0411,2021-10-01,1997,103.9,111.8,92.9
ET0411,2021-11-01,1997,17.9,38,47
ET0411,2021-12-01,1997,7,15.3,45.7
ET0411,2022-01-01,1997,10.4,12.4,84.1
ET0411,2022-02-01,1997,8.6,16.5,52.3
ET0411,2022-03-01,1997,37,54,68.4
ET0411,2022-04-01,1997,117,160.8,72.8
ET0411,2022-05-01,1997,53.5,119.5,44.8
ET0411,2022-06-01,1997,29.9,32.9,90.8
ET0411,2022-07-01,1997,33.6,36.8,91.3
ET0411,2022-08-01,1997,43.4,49.1,88.3
ET0411,2022-09-01,1997,70.5,72.8,96.9
ET0411,2022-10-01,1997,126.4,111.8,113
ET0411,2022-11-01,1997,23.9,38,62.8
ET0411,2022-12-01,1997,10.3,15.3,67.3
ET0411,2023-01-01,1997,9.6,12.4,78
ET0411,2023-02-01,1997,9.3,16.5,56.2
ET0411,2023-03-01,1997,140.3,54,259.5
ET0411,2023-04-01,1997,175.2,160.8,108.9
ET0411,2023-05-01,1997,120.1,119.5,100.5
ET0411,2023-06-01,1997,34,32.9,103.4
ET0411,2023-07-01,1997,26.5,36.8,72.1
ET0411,2023-08-01,1997,38.9,49.1,79
ET0411,2023-09-01,1997,77.3,72.8,106.2
ET0411,2023-10-01,1997,142.9,111.8,127.8
ET0411,2023-11-01,1997,118.7,38,312.2
ET0411,2023-12-01,1997,7.3,15.3,47.8
ET0411,2024-01-01,1997,9.2,12.4,74.7
ET0411,2024-02-01,1997,10.9,16.5,66.1
ET0411,2024-03-01,1997,47.6,54,88
ET0411,2024-04-01,1997,172.1,160.8,107
ET0411,2024-05-01,1997,107.5,119.5,89.9
ET0411,2024-06-01,1997,22.9,32.9,69.7
ET0411,2024-07-01,1997,52.1,36.8,141.5
ET0411,2024-08-01,1997,77.5,49.1,157.6
ET0411,2024-09-01,1997,59.9,72.8,82.2
ET0411,2024-10-01,1997,113.1,111.8,101.2
ET0411,2024-11-01,1997,36.5,38,96.1
ET0411,2024-12-01,1997,9.4,15.3,61.2
ET0412,2019-01-01,1693,6.8,18.5,36.6
ET0412,2019-02-01,1693,13.2,24.4,53.9
ET0412,2019-03-01,1693,39,69.6,56.1
ET0412,2019-04-01,1693,135.6,174.1,77.9
ET0412,2019-05-01,1693,111.3,96,116
ET0412,2019-06-01,1693,40,18.4,217.4
ET0412,2019-07-01,1693,25.2,18.4,136.7
ET0412,2019-08-01,1693,17.4,18.1,96.3
ET0412,2019-09-01,1693,32.3,33.8,95.4
ET0412,2019-10-01,1693,206.5,108.6,190.2
ET0412,2019-11-01,1693,148.4,68.5,216.8
ET0412,2019-12-01,1693,32.5,23.8,136.6
ET0412,2020-01-01,1693,25.9,18.5,139.6
ET0412,2020-02-01,1693,23.7,24.4,96.9
ET0412,2020-03-01,1693,102.3,69.6,147
ET0412,2020-04-01,1693,214.5,174.1,123.3
ET0412,2020-05-01,1693,82.6,96,86
ET0412,2020-06-01,1693,24.6,18.4,133.8
ET0412,2020-07-01,1693,39.2,18.4,212.8
ET0412,2020-08-01,1693,NA,18.1,NA
ET0412,2020-09-01,1693,56,33.8,165.6
ET0412,2020-10-01,1693,151.4,108.6,139.4
ET0412,2020-11-01,1693,31.3,68.5,45.7
ET0412,2020-12-01,1693,14.1,23.8,59.3
ET0412,2021-01-01,1693,8.8,18.5,47.6
ET0412,2021-02-01,1693,20.9,24.4,85.4
ET0412,2021-03-01,1693,36.3,69.6,52.2
ET0412,2021-04-01,1693,176.8,174.1,101.6
ET0412,2021-05-01,1693,133.3,96,138.9
ET0412,2021-06-01,1693,9.9,18.4,53.7
ET0412,2021-07-01,1693,21.2,18.4,114.9
ET0412,2021-08-01,1693,13.8,18.1,76.7
ET0412,2021-09-01,1693,39.1,33.8,115.5
ET0412,2021-10-01,1693,75.8,108.6,69.8
ET0412,2021-11-01,1693,42.1,68.5,61.5
ET0412,2021-12-01,1693,9.3,23.8,38.8
ET0412,2022-01-01,1693,33.9,18.5,182.8
ET0412,2022-02-01,1693,12.6,24.4,51.7
ET0412,2022-03-01,1693,37.9,69.6,54.5
ET0412,2022-04-01,1693,155.4,174.1,89.3
ET0412,2022-05-01,1693,61.2,96,63.8
ET0412,2022-06-01,1693,11.3,18.4,61.2
ET0412,2022-07-01,1693,13.8,18.4,75.1
ET0412,2022-08-01,1693,17.4,18.1,96.3
ET0412,2022-09-01,1693,27,33.8,79.7
ET0412,2022-10-01,1693,132.7,108.6,122.2
ET0412,2022-11-01,1693,32.6,68.5,47.7
ET0412,2022-12-01,1693,11.4,23.8,48
ET0412,2023-01-01,1693,8.3,18.5,44.9
ET0412,2023-02-01,1693,7.5,24.4,30.9
ET0412,2023-03-01,1693,180.8,69.6,259.8
ET0412,2023-04-01,1693,194,174.1,111.4
ET0412,2023-05-01,1693,118.8,96,123.8
ET0412,2023-06-01,1693,18.4,18.4,99.7
ET0412,2023-07-01,1693,13.3,18.4,72.2
ET0412,2023-08-01,1693,11.3,18.1,62.7
ET0412,2023-09-01,1693,38.9,33.8,114.9
ET0412,2023-10-01,1693,190.5,108.6,175.4
ET0412,2023-11-01,1693,198.9,68.5,290.6
ET0412,2023-12-01,1693,15.4,23.8,64.5
ET0412,2024-01-01,1693,18.9,18.5,101.7
ET0412,2024-02-01,1693,43.1,24.4,176.6
ET0412,2024-03-01,1693,61.3,69.6,88.1
ET0412,2024-04-01,1693,294.7,174.1,169.3
ET0412,2024-05-01,1693,143.5,96,149.5
ET0412,2024-06-01,1693,12.4,18.4,67.1
ET0412,2024-07-01,1693,NA,18.4,NA
ET0412,2024-08-01,1693,26.5,18.1,146.6
ET0412,2024-09-01,1693,28.2,33.8,83.3
ET0412,2024-10-01,1693,90.9,108.6,83.7
ET0412,2024-11-01,1693,60.9,68.5,89
ET0412,2024-12-01,1693,4.2,23.8,17.5
ET0413,2019-01-01,214,6.8,15.6,43.4
ET0413,2019-02-01,214,NA,30.6,NA
ET0413,2019-03-01,214,52.3,56.8,92.2
ET0413,2019-04-01,214,134.9,75,179.8
ET0413,2019-05-01,214,100.2,102.3,98
ET0413,2019-06-01,214,159.8,163.4,97.8
ET0413,2019-07-01,214,279.4,255.1,109.5
ET0413,2019-08-01,214,259.6,256.2,101.3
ET0413,2019-09-01,214,195.2,124.8,156.4
ET0413,2019-10-01,214,56.8,26.2,217.1
ET0413,2019-11-01,214,35.8,9.9,360
ET0413,2019-12-01,214,7.2,7.3,98.3
ET0413,2020-01-01,214,10.9,15.6,69.9
ET0413,2020-02-01,214,15.3,30.6,50
ET0413,2020-03-01,214,99.4,56.8,175
ET0413,2020-04-01,214,118.8,75,158.3
ET0413,2020-05-01,214,128.8,102.3,125.9
ET0413,2020-06-01,214,183.2,163.4,112.1
ET0413,2020-07-01,214,236.5,255.1,92.7
ET0413,2020-08-01,214,305.1,256.2,119.1
ET0413,2020-09-01,214,155.4,124.8,124.5
ET0413,2020-10-01,214,30.6,26.2,116.9
ET0413,2020-11-01,214,8.5,9.9,85.8
ET0413,2020-12-01,214,4.5,7.3,61.6
ET0413,2021-01-01,214,9,15.6,57.8
ET0413,2021-02-01,214,26.5,30.6,86.5
ET0413,2021-03-01,214,20.2,56.8,35.6
ET0413,2021-04-01,214,69.4,75,92.5
ET0413,2021-05-01,214,130,102.3,127.1
ET0413,2021-06-01,214,115.6,163.4,70.8
ET0413,2021-07-01,214,246,255.1,96.5
ET0413,2021-08-01,214,264.8,256.2,103.4
ET0413,2021-09-01,214,136.9,124.8,109.7
ET0413,2021-10-01,214,52.9,26.2,202.1
ET0413,2021-11-01,214,10.8,9.9,108.3
ET0413,2021-12-01,214,7,7.3,95.3
ET0413,2022-01-01,214,21.6,15.6,138.5
ET0413,2022-02-01,214,11.9,30.6,39
ET0413,2022-03-01,214,27.4,56.8,48.2
ET0413,2022-04-01,214,62,75,82.6
ET0413,2022-05-01,214,34.9,102.3,34.2
ET0413,2022-06-01,214,177.2,163.4,108.4
ET0413,2022-07-01,214,224.2,255.1,87.9
ET0413,2022-08-01,214,253.6,256.2,99
ET0413,2022-09-01,214,170.9,124.8,137
ET0413,2022-10-01,214,39.7,26.2,151.9
ET0413,2022-11-01,214,10.6,9.9,106.5
ET0413,2022-12-01,214,11.1,7.3,151.8
ET0413,2023-01-01,214,7.9,15.6,50.6
ET0413,2023-02-01,214,12.1,30.6,39.6
ET0413,2023-03-01,214,141.8,56.8,249.8
ET0413,2023-04-01,214,135.4,75,180.5
ET0413,2023-05-01,214,167,102.3,163.3
ET0413,2023-06-01,214,159.5,163.4,97.6
ET0413,2023-07-01,214,243.8,255.1,95.6
ET0413,2023-08-01,214,206.5,256.2,80.6
ET0413,2023-09-01,214,219,124.8,175.5
ET0413,2023-10-01,214,23.1,26.2,88.2
ET0413,2023-11-01,214,15.1,9.9,151.5
ET0413,2023-12-01,214,4.4,7.3,60
ET0413,2024-01-01,214,15.5,15.6,98.9
ET0413,2024-02-01,214,64.4,30.6,210.6
ET0413,2024-03-01,214,85.5,56.8,150.5
ET0413,2024-04-01,214,94.7,75,126.3
ET0413,2024-05-01,214,69.1,102.3,67.5
ET0413,2024-06-01,214,170.2,163.4,104.2
ET0413,2024-07-01,214,287.2,255.1,112.6
ET0413,2024-08-01,214,254,256.2,99.1
ET0413,2024-09-01,214,135.5,124.8,108.6
ET0413,2024-10-01,214,76.6,26.2,292.8
ET0413,2024-11-01,214,14.8,9.9,148.4
ET0413,2024-12-01,214,4.2,7.3,57.5
ET0414,2019-01-01,574,7.4,15.7,47.4
ET0414,2019-02-01,574,9.3,20.3,45.9
ET0414,2019-03-01,574,34.1,76.4,44.7
ET0414,2019-04-01,574,131.7,213.4,61.7
ET0414,2019-05-01,574,179.9,146.3,123
ET0414,2019-06-01,574,88.7,34.7,255.6
ET0414,2019-07-01,574,40.4,27.8,145.1
ET0414,2019-08-01,574,31.2,35.9,86.9
ET0414,2019-09-01,574,76.1,64.5,118
ET0414,2019-10-01,574,263.7,136.8,192.7
ET0414,2019-11-01,574,127.2,64.5,197.2
ET0414,2019-12-01,574,21.9,18.2,120.5
ET0414,2020-01-01,574,17.9,15.7,113.9
ET0414,2020-02-01,574,12.1,20.3,59.7
ET0414,2020-03-01,574,80.8,76.4,105.8
ET0414,2020-04-01,574,316.4,213.4,148.3
ET0414,2020-05-01,574,147.2,146.3,100.6
ET0414,2020-06-01,574,44.8,34.7,128.9
ET0414,2020-07-01,574,56.4,27.8,202.5
ET0414,2020-08-01,574,57.7,35.9,160.7
ET0414,2020-09-01,574,99.1,64.5,153.7
ET0414,2020-10-01,574,186.6,136.8,136.3
ET0414,2020-11-01,574,29.1,64.5,45.1
ET0414,2020-12-01,574,8.1,18.2,44.8
ET0414,2021-01-01,574,9.7,15.7,62.1
ET0414,2021-02-01,574,17.1,20.3,83.8
ET0414,2021-03-01,574,35.9,76.4,47
ET0414,2021-04-01,574,231,213.4,108.3
ET0414,2021-05-01,574,130.8,146.3,89.4
ET0414,2021-06-01,574,19.9,34.7,57.2
ET0414,2021-07-01,574,32.6,27.8,117.2
ET0414,2021-08-01,574,37.4,35.9,104.1
ET0414,2021-09-01,574,59.8,64.5,92.8
ET0414,2021-10-01,574,110.2,136.8,80.5
ET0414,2021-11-01,574,40.2,64.5,62.3
ET0414,2021-12-01,574,5.4,18.2,29.9
ET0414,2022-01-01,574,26.6,15.7,169.5
ET0414,2022-02-01,574,10.7,20.3,52.7
ET0414,2022-03-01,574,40.7,76.4,53.3
ET0414,2022-04-01,574,190.9,213.4,89.5
ET0414,2022-05-01,574,80.6,146.3,55.1
ET0414,2022-06-01,574,21.5,34.7,62
ET0414,2022-07-01,574,19.4,27.8,69.8
ET0414,2022-08-01,574,35.1,35.9,97.7
ET0414,2022-09-01,574,75,64.5,116.2
ET0414,2022-10-01,574,143.5,136.8,104.9
ET0414,2022-11-01,574,37.2,64.5,57.6
ET0414,2022-12-01,574,7.4,18.2,40.5
ET0414,2023-01-01,574,9,15.7,57.4
ET0414,2023-02-01,574,7.6,20.3,37.4
ET0414,2023-03-01,574,189.7,76.4,248.1
ET0414,2023-04-01,574,205.2,213.4,96.2
ET0414,2023-05-01,574,158.7,146.3,108.5
ET0414,2023-06-01,574,28.6,34.7,82.4
ET0414,2023-07-01,574,17.6,27.8,63.2
ET0414,2023-08-01,574,19.3,35.9,53.7
ET0414,2023-09-01,574,NA,64.5,NA
ET0414,2023-10-01,574,178.6,136.8,130.5
ET0414,2023-11-01,574,144.8,64.5,224.6
ET0414,2023-12-01,574,8,18.2,43.8
ET0414,2024-01-01,574,13.7,15.7,87.2
ET0414,2024-02-01,574,16.9,20.3,82.9
ET0414,2024-03-01,574,60.2,76.4,78.8
ET0414,2024-04-01,574,303.3,213.4,142.1
ET0414,2024-05-01,574,196.6,146.3,134.4
ET0414,2024-06-01,574,17.9,34.7,51.5
ET0414,2024-07-01,574,43.3,27.8,155.6
ET0414,2024-08-01,574,60.1,35.9,167.5
ET0414,2024-09-01,574,55.9,64.5,86.7
ET0414,2024-10-01,574,123.6,136.8,90.3
ET0414,2024-11-01,574,33.1,64.5,51.2
ET0414,2024-12-01,574,4.3,18.2,23.7
